account,sector,year_established,revenue,employees,office_location,subsidiary_of
Acme Corporation,Technolgy,1996,1100.04,2822.0,United States,
Betasoloin,medical,1999,251.41,495.0,United States,
Betatech,medical,1986,647.18,1185.0,Kenya,
Bioholding,MEDICAL,2012,587.34,1356.0,Philipines,
Bioplex,Medical,1991,326.82,1016.0,U.S.,
Blackzim,retail,2009,497.11,1588.0,United States,
Bluth Company,technolgy,1993,1242.32,3027.0,United States,Acme Corporation
Bubba Gump,software,2002,987.39,2253.0,US,
Cancity,retail,2001,718.62,2448.0,US,
Cheers,entertainment,1993,4269.9,,United States,Massive Dynamic
Codehow,Software,1998,2714.9,2641.0,United States,Acme Corporation
Condax,healthcare,2017,4.54,9.0,United States,
Conecom,technolgy,2005,1520.66,1806.0,United States,
Dalttechnology,SOFTWARE,2013,98.79,96.0,United States,Bubba Gump
dambase,Marketing,1995,2173.98,2928.0,United States,Inity
Domzoom,entertainment,1998,217.87,551.0,united states,
Doncon,technolgy,2010,587.72,1501.0,U.S.,
Donquadtech,Technolgy,1992,1712.68,3194.0,United States,Acme Corporation
Dontechi,software,1982,4618.0,10083.0,United States,
Donware,marketing,1999,1197.44,2570.0,United States,
Fasehatice,retail,1990,,7523.0,U.S.,
Faxquote,Telecommunications,1995,1825.82,,United States,Sonron
Finhigh,finance,2006,1102.43,1759.0,United States,
Finjob,employment,1988,2059.9,3644.0,United States,
Funholding,finance,1991,2819.5,7227.0,United States,Golddex
Ganjaflex,RETAIL,1995,5158.71,17479.0,Japan,
Gekko & Co,retail,1990,2520.83,,United States,
Genco Pura Olive Oil Company,RETAIL,2007,894.33,1635.0,Italy,
Globex Corporation,TECHNOLGY,2000,1223.72,2497.0,Norway,
Gogozoom,Telecommunications,2007,86.68,187.0,united states,Sonron
Golddex,finance,2008,52.5,165.0,United States,
Goodsilron,Marketing,2000,2952.73,5107.0,united states,
Green-Plus,services,2003,692.19,1922.0,United States,
Groovestreet,retail,2003,223.8,299.0,United States,
Hatfan,services,1982,792.46,,U.S.,
Hottechi,Technolgy,1997,,16499.0,Korea,
Initech,telecommunications,1994,6395.05,20275.0,United States,
Inity,MARKETING,1986,2403.58,8801.0,United States,
Isdom,medical,2002,3178.24,4540.0,United States,
Iselectrics,technolgy,2011,527.11,1428.0,United States,Acme Corporation
J-Texon,retail,1989,1388.67,3583.0,United States,
Kan-code,software,1982,11698.03,34288.0,US,
Kinnamplus,retail,2004,702.72,1831.0,United States,
Konex,technolgy,1980,7708.38,13756.0,United States,
Konmatfix,MARKETING,1985,375.43,1190.0,United States,
Labdrill,medical,1985,,9226.0,United States,
Lexiqvolax,medical,2004,,3889.0,United States,
Massive Dynamic,entertainment,1989,,1095.0,U.S.,
Mathtouch,Marketing,1984,,9516.0,Jordan,
Nam-zim,services,1987,405.59,1179.0,Brazil,Warephase
Newex,services,1991,1012.72,3492.0,Germany,
Ontomedia,Employment,1997,882.12,2769.0,United States,
Opentech,finance,1994,355.23,853.0,United States,
Plexzap,retail,2001,2437.85,4874.0,United States,
Plusstrip,ENTERTAINMENT,2002,349.81,315.0,United States,
Plussunin,RETAIL,2003,1419.98,4018.0,United States,
Rangreen,technolgy,1987,2938.67,8775.0,Panama,
Rantouch,telecommunications,1994,1188.42,3015.0,United States,
Ron-tech,medical,1992,,6837.0,united states,
Rundofase,technolgy,1983,1008.06,1238.0,united states,
Scotfind,software,1996,6354.87,16780.0,United States,Bubba Gump
Scottech,Marketing,2012,45.39,100.0,United States,Inity
Silis,medical,1994,2818.38,6290.0,USA,
Singletechno,retail,1996,2214.94,5374.0,U.S.,
Sonron,TELECOMMUNICATIONS,1999,1699.85,5108.0,United States,
Stanredtax,finance,1987,1698.2,3798.0,United States,
Statholdings,employment,1997,291.27,586.0,United States,
Streethex,retail,1988,1376.8,1165.0,Belgium,
Sumace,retail,2000,167.89,,Romania,
Sunnamplex,MARKETING,2008,894.37,1593.0,Poland,
The New York Inquirer,Medical,1996,439.21,792.0,U.S.,
Toughzap,retail,1995,332.43,799.0,USA,
Treequote,Telecommunications,1988,5266.09,8595.0,United States,Sonron
Umbrella Corporation,finance,1998,2022.14,5113.0,US,
Vehement Capital Partners,finance,1993,646.1,883.0,United States,Golddex
Warephase,SERVICES,1997,2041.73,5276.0,United States,
Xx-holding,finance,1993,7537.24,20293.0,United States,
Xx-zobam,entertainment,1989,3838.39,,United States,
Y-corporation,employment,1983,2871.35,9561.0,United States,
Yearin,RETAIL,2005,2261.05,3851.0,united states,
Zathunicon,retail,2010,71.12,144.0,United States,
Zencorporation,Technolgy,2011,,142.0,China,
Zoomit,entertainment,1992,324.19,,United States,
Zotware,software,1979,4478.47,13809.0,United States,
Zumgoity,medical,1984,441.08,1210.0,United States,
Y-corporation,employment,1983,2871.35,9561.0,United States,
Acme Corporation,Technolgy,1996,1100.04,2822.0,United States,
Sumace,retail,2000,167.89,,Romania,
